基金名稱,類型,幣別,國泰世華,元大銀行,兆豐銀行,高雄銀行,渣打銀行,華泰銀行,京城銀行,將來銀行,連線銀行,永豐銀行,台中商銀,瑞興銀行,王道銀行,中國信託,玉山銀行,板信商銀,三信銀行,彰化銀行,巴黎銀行,陽信銀行,華南銀行,土地銀行,滙豐銀行,遠東銀行,星展銀行,花旗銀行(併入星展銀行),安泰銀行,臺灣企銀,上海銀行,聯邦銀行,台灣銀行,凱基銀行,第一銀行,台北富邦銀行,日盛銀行(併入台北富邦銀),台新銀行,新光銀行,瑞士銀行,合作金庫
野村中國機會基金,前收累積,人民幣,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
野村巴西基金,前收累積,新臺幣,10370029,CA38,7030,5827,X,2428,10040038,V,●,K38,5581,IN37,2014,55500039,2133,1432,336,8877,V,7736,6047,D628,●,IN22,X,X,X,5025,7828,6536,3421,IG22,●,3646,5840,●,1546,●,8119
野村印度潛力基金,前收累積,新臺幣,10370033,CA46,7033,5830,X,2432,10040041,V,●,K41,5582,IN40,2024,55500041,2136,1436,339,8814,●,7737,6050,D632,●,IN27,X,X,8930,X,7830,6543,3424,AO22,●,3649,5841,●,1550,X,7111
野村亞太複合非投資等級債券基金,前收累積,新臺幣,10370037,CA47,7035,5832,●,2434,10040043,V,●,K43,5584,IN42,2015,55500043,2138,14F2,341,8837,V,7743,6052,D633,●,IN66,X,X,8932,5028,7832,6545,3426,AO24,52BK,3651,5850,●,1551,●,7147
野村亞太複合非投資等級債券基金,前收累積,美元,●,C129,7I15,5857,●,●,●,●,●,CKA,●,●,2039,65500026,4729,87F1,●,0B26,●,●,●,K423,●,CN20,X,X,●,●,7H13,ZB29,●,OA30,●,DD06,●,●,●,●,●
野村亞太複合非投資等級債券基金,前收累積,人民幣,10370045,C101,7I05,5837,●,5505,10040054,●,●,286,4105,D205,2041,65500005,4705,87F3,394,0B05,●,6C06,8D05,K425,●,CN11,X,X,9J03,C905,7Z01,ZB05,DE09,OA05,52BU,DE03,N01E,●,9J05,●,CC45
野村亞太複合非投資等級債券基金,前收月配,新臺幣,10370038,CA48,7036,5833,●,2435,10040044,V,●,K44,5585,IN43,2016,55500082,2139,14F3,342,8838,V,7744,6053,D634,●,IN67,X,X,8933,5029,7833,6546,3427,AO25,52BL,3652,5851,●,1552,●,7148
野村亞太複合非投資等級債券基金,前收月配,美元,●,C130,7I16,5858,●,●,●,●,●,CKB,●,●,2040,65500027,●,87F2,●,0B27,●,●,●,K424,●,CN21,X,X,●,●,7H14,ZB30,●,OA31,●,DD07,●,●,●,●,●
野村亞太複合非投資等級債券基金,前收月配,人民幣,10370046,C102,7I06,5838,●,5506,10040055,●,●,287,4106,D206,2042,65500006,4706,87F4,395,0B06,●,6C05,8D06,K426,●,CN12,X,X,9J04,C906,7Z02,ZB06,DE10,OA06,52BV,DE04,N01F,●,9J06,●,CC46
野村亞太複合非投資等級債券基金,後收累積,新臺幣,●,CB05,8701,●,●,●,●,●,●,C0O,90A3,I711,53003,●,8138,●,●,88A1,●,●,●,●,●,●,X,X,●,●,6906,VK07,N503,●,●,●,●,●,4703,●,●
野村亞太複合非投資等級債券基金,後收月配,新臺幣,●,CB06,8702,●,●,●,●,●,●,C1O,90A4,I712,53004,●,8139,●,03N1,88A2,●,●,●,●,●,●,X,X,●,●,6907,VK08,N504,●,●,●,●,●,4704,●,●
野村亞太複合非投資等級債券基金,後收月配,美元,●,C205,7G01,●,●,●,●,●,●,CP0,41A3,J714,53005,●,9740,●,●,0BA1,●,●,●,●,●,●,X,X,●,●,6I03,YD07,P503,●,●,●,●,●,9X03,●,●
野村亞太複合非投資等級債券基金,後收月配,人民幣,●,C206,7G02,●,●,●,●,●,●,CQ0,41A4,J715,53006,●,9706,●,03Z9,0BA2,●,●,●,●,●,●,X,X,●,●,6I04,YD08,P504,●,●,●,●,●,9X04,●,●
野村環球非投資等級債券基金,前收累積,新臺幣,10370039,CA50,7037,5834,●,●,10040047,V,●,K46,5587,IN45,2017,55500045,2141,14F4,345,8835,V,7747,6057,D636,●,IN29,●,X,8935,5033,7836,6548,3429,AO27,52BN,3653,5853,●,1554,X,7149
野村環球非投資等級債券基金,前收累積,美元,●,C103,7I01,●,●,5501,10040049,●,●,260,4101,D201,●,65500001,4701,●,398,0B01,●,6C02,8D01,K401,●,CN01,●,X,●,C901,7H01,ZB01,●,OA01,52BP,DD01,N01A,●,9J01,X,CC41
野村環球非投資等級債券基金,前收累積,人民幣,10370050,C105,7I03,●,●,5503,10040051,●,●,284,4103,D203,●,65500003,4703,●,396,0B03,●,6C04,8D03,K405,●,CN03,●,X,9J01,C903,●,ZB03,●,OA03,52BS,DE01,N01C,●,9J03,X,CC43
野村環球非投資等級債券基金,前收月配,新臺幣,10370040,CA51,7038,5835,●,2437,10040048,V,●,K47,5588,IN46,2018,55500046,2142,14F5,346,8836,V,7746,6058,D637,●,IN30,●,X,8936,5034,7837,6549,3430,AO28,52BO,3654,5854,●,1555,X,7150
野村環球非投資等級債券基金,前收月配,美元,●,C104,7I02,●,●,5502,10040050,●,●,261,4102,D202,●,65500002,4702,●,399,0B02,●,6C01,8D02,K402,●,CN02,●,X,●,C902,7H02,ZB02,●,OA02,52BQ,DD02,N01B,●,9J02,X,CC42
野村環球非投資等級債券基金,前收月配,人民幣,10370044,C106,7I04,5836,●,5504,10040052,●,●,285,4104,D204,●,65500004,4704,●,397,0B04,●,6C03,8D04,K406,●,CN04,●,X,9J02,C904,7Z22,ZB04,●,OA04,52BT,DE02,N01D,●,9J04,X,CC44
